Wall time,Step,Value
1636030037.6457655,8512,10.3125
1636030038.2586753,8582,10.15625
1636030038.3461545,8592,12.34375
1636030038.8715234,8652,10.9375
1636030039.396016,8712,13.4375
1636030039.570582,8732,12.5
1636030039.8408213,8762,10.625
1636030043.1004102,9112,11.25
1636030044.2119486,9232,10.0
1636030046.860684,9430,12.1875
1636030047.036131,9450,8.90625
1636030048.7007742,9640,11.875
1636030048.8758285,9660,10.625
1636030050.7071319,9860,10.46875
1636030052.9476707,10100,11.875
1636030053.2302628,10130,11.40625
1636030054.439494,10260,12.5
1636030056.080159,10348,9.84375
1636030056.869421,10438,9.375
1636030057.1315517,10468,11.25
1636030057.3070834,10488,12.1875
1636030057.3946426,10498,14.375
1636030061.4094062,10938,11.875
1636030061.966801,10998,10.0
1636030062.245329,11028,11.09375
1636030062.8967526,11098,10.15625
1636030064.107431,11228,12.5
1636030064.292837,11248,12.96875
1636030065.2908766,11266,12.65625
1636030065.905746,11336,11.40625
1636030067.4852383,11516,10.0
1636030069.5878005,11746,11.40625
1636030070.0524337,11796,10.78125
1636030071.9311533,11996,10.78125
1636030072.1172245,12016,9.21875
1636030072.6774783,12076,11.71875
1636030075.927805,12344,11.25
1636030076.3661332,12394,11.71875
1636030077.5077798,12524,13.4375
1636030077.8782895,12564,12.65625
1636030079.5538745,12744,12.8125
1636030080.3039384,12824,10.78125
1636030082.44505,13054,11.25
1636030082.816608,13094,10.46875
1636031165.7305064,10,10.625
1636031165.8222647,20,8.59375
1636031168.0466473,280,12.03125
1636031170.019445,510,9.6875
1636031171.1377134,640,10.0
1636031172.5152624,800,10.3125
1636031173.4547362,910,12.5
1636031175.7502885,1078,13.125
1636031176.9688752,1218,12.03125
1636031177.0586302,1228,11.09375
1636031178.8064876,1428,10.78125
1636031180.8806326,1668,12.5
1636031181.0548658,1688,11.5625
1636031258.7479784,100,13.75
1636031260.487927,290,12.34375
1636031260.578086,300,9.6875
1636031260.7594302,320,11.875
1636031261.220083,370,13.125
1636031264.6081839,740,12.03125
1636031265.2509089,810,10.9375
1636031265.6137152,850,9.375
1636031266.1626456,910,12.5
1636031267.6386485,978,11.25
1636031268.0947423,1028,12.03125
1636031268.3689156,1058,10.78125
1636031268.550862,1078,8.4375
1636032913.5054066,50,85.78125
